term,crn,Seats_Capacity,Seats_Actual,Seats_Remaining,Waitlist_Capacity,Waitlist_Actual,Waitlist_Remaining
202409,11298,27,27,0,10,0,10
202501,21459,24,9,15,5,0,5
202409,10212,32,31,1,100,0,100
202409,11782,25,23,2,10,0,10
202501,20363,200,200,0,100,28,72
202409,11300,4,4,0,3,0,3
202409,12895,25,24,1,0,0,0
202501,20305,358,342,16,100,0,100
202409,11644,5,5,0,0,0,0
202409,12020,50,48,2,20,0,20
202409,13617,15,7,8,100,0,100
202501,22295,3,0,3,3,0,3
202409,11385,56,50,6,50,0,50
202501,21687,81,49,32,5,0,5
202409,10624,80,64,16,50,0,50
202501,21786,70,51,19,50,0,50
202409,11442,50,21,29,100,0,100
202501,22928,80,64,16,100,0,100
202501,20993,30,10,20,0,0,0
202409,12066,215,195,20,90,0,90
202501,23441,30,16,14,100,0,100
202409,10149,20,22,-2,100,0,100
202501,23025,30,30,0,100,2,98
202501,20152,30,30,0,100,2,98
202409,11263,32,32,0,30,0,30
202501,22276,5,0,5,0,0,0
202409,12714,24,24,0,0,0,0
202501,20019,33,33,0,50,1,49
202501,22282,5,1,4,5,0,5
202501,22224,5,2,3,5,0,5
202501,22803,30,21,9,20,0,20
202501,21908,40,38,2,40,0,40
202501,21238,200,189,11,100,0,100
202409,10744,31,31,0,0,0,0
202501,21177,20,2,18,10,0,10
202501,20882,100,50,50,50,0,50
202501,22727,200,198,2,100,68,32
202409,11473,18,18,0,5,0,5
202409,11330,33,33,0,100,0,100
202409,11215,33,13,20,0,0,0
202409,10645,64,61,3,10,0,10
202409,10473,92,58,34,0,0,0
202501,20887,16,16,0,3,0,3
202501,20814,60,60,0,100,3,97
202501,20136,90,88,2,100,1,99
202501,21254,40,40,0,40,4,36
202409,10183,18,16,2,0,0,0
202409,12811,20,11,9,2,0,2
202409,11488,110,104,6,3,0,3
202501,21153,32,31,1,30,7,23
202501,20701,15,1,14,10,0,10
202501,23161,50,26,24,100,0,100
202409,11772,53,50,3,100,0,100
202501,21375,16,12,4,5,0,5
202501,22970,38,38,0,50,15,35
202501,20588,85,35,50,80,0,80
202409,10517,16,15,1,4,0,4
202409,12896,25,25,0,0,0,0
202409,13691,60,27,33,100,0,100
202409,10690,60,41,19,10,0,10
202501,22503,24,24,0,0,0,0
202409,12060,40,27,13,10,0,10
202409,13168,11,10,1,30,0,30
202501,20898,16,16,0,3,1,2
202501,20695,30,29,1,0,0,0
202409,14199,5,1,4,5,0,5
202409,10157,24,18,6,100,0,100
202409,10158,24,23,1,100,0,100
202409,11587,30,32,-2,30,0,30
202409,12260,81,65,16,25,0,25
202409,11264,32,31,1,30,0,30
202409,12377,5,1,4,5,0,5
202409,11821,53,42,11,5,0,5
202501,22645,20,16,4,2,0,2
202501,21757,50,0,50,100,0,100
202501,21953,60,35,25,30,0,30
202409,11272,32,26,6,30,0,30
202501,22467,60,30,30,100,0,100
202501,23737,70,70,0,100,43,57
202501,21386,30,30,0,100,9,91
202501,20371,18,16,2,4,0,4
202409,11936,30,9,21,30,0,30
202409,12540,50,50,0,0,0,0
202501,21507,20,20,0,100,0,100
202501,21753,35,35,0,100,2,98
202501,22718,25,25,0,0,0,0
202409,12286,5,2,3,5,0,5
202409,11872,335,331,4,100,0,100
202501,21315,20,17,3,4,0,4
202501,20616,64,63,1,10,0,10
202501,21307,22,22,0,4,1,3
202409,10232,32,30,2,100,0,100
202409,11722,20,16,4,20,0,20
202409,13266,16,14,2,100,0,100
202409,10990,140,130,10,50,0,50
202501,21965,30,15,15,15,0,15
202501,21673,45,36,9,100,0,100
202501,20611,64,63,1,10,0,10
202409,11982,6,4,2,15,0,15
202409,12426,5,1,4,5,0,5
202409,13908,10,7,3,100,0,100
202409,12436,5,2,3,5,0,5
202501,22459,120,80,40,100,0,100
202409,12950,25,25,0,30,0,30
202409,12187,28,27,1,16,0,16
202409,12213,25,0,25,5,0,5
202501,23922,35,0,35,0,0,0
202501,23478,15,9,6,0,0,0
202501,22291,3,1,2,3,0,3
202501,20985,60,41,19,0,0,0
202501,22931,80,80,0,100,0,100
202501,22847,72,72,0,10,5,5
202409,13224,60,42,18,0,0,0
202409,10398,21,25,-4,1,0,1
